;0;1
189;http://www.journaldelenvironnement.net/article/gestion-des-plastiques-issus-des-deee-et-contenant-des-retardateurs-de-flammes-bromes,32352;2012/12/24
190;http://www.journaldelenvironnement.net/article/les-poissons-du-channel-mangent-aussi-du-plastique,32803;2013/01/25
191;http://www.journaldelenvironnement.net/article/les-particules-invisibles-des-dechets-marins-de-premier-plan,79770;2017/02/22
192;http://www.journaldelenvironnement.net/article/lutte-contre-les-dechets-vers-une-refonte-de-la-fiscalite,94279;2018/10/18
193;http://www.journaldelenvironnement.net/article/modification-de-la-liste-communautaire-des-substances-autorisees-pour-la-fabrication-de-materiaux-et-d-objets-en-matiere-plastique,32837;2013/01/31
194;http://www.journaldelenvironnement.net/article/les-britanniques-en-tete-du-recyclage-des-plastiques-du-batiment,28039;2012/03/14
195;http://www.journaldelenvironnement.net/article/dechets-plastiques-melanges-appel-d-offred-de-la-commission-europeenne,29011;2012/05/15
196;http://www.journaldelenvironnement.net/article/la-collecte-des-plastiques-s-elargit-un-peu-en-france,27824;2012/02/03
197;http://www.journaldelenvironnement.net/article/la-pression-monte-en-faveur-d-une-taxe-anglaise-sur-les-sacs-plastique,30925;2012/01/10
198;http://www.journaldelenvironnement.net/article/comment-federec-veut-developper-le-recyclage-des-plastiques,26199;2011/11/29
199;http://www.journaldelenvironnement.net/article/chine-premier-bilan-de-l-interdiction-des-sacs-en-plastique,29591;2012/06/21
200;http://www.journaldelenvironnement.net/article/toronto-elimine-ses-sacs-plastique,29718;2012/02/07
201;http://www.journaldelenvironnement.net/article/52-de-sacs-plastique-en-moins-au-quebec,30097;2012/07/25
202;http://www.journaldelenvironnement.net/article/a-quand-la-taxe-anglaise-sur-les-sacs-plastique,30821;2012/09/24
203;http://www.journaldelenvironnement.net/article/les-anglais-raffolent-des-sacs-plastique,30194;2012/01/08
204;http://www.journaldelenvironnement.net/article/la-concentration-des-dechets-plastique-a-explose-dans-le-pacifique,28952;2012/09/05
205;http://www.journaldelenvironnement.net/article/sofia-taxe-les-sacs-plastiques,25345;2011/10/10
206;http://www.journaldelenvironnement.net/article/pays-de-galles-la-taxe-a-eu-raison-des-sacs-plastique,29808;2012/05/07
207;http://www.journaldelenvironnement.net/article/paillis-de-plastique-promenade-sous-la-pluie-pour-les-salmonelles,28287;2012/03/28
208;http://www.journaldelenvironnement.net/article/vers-un-recyclage-de-tous-les-emballages-plastiques-en-france,24060;2011/07/07
209;http://www.journaldelenvironnement.net/article/les-europeens-ne-veulent-plus-de-sacs-plastique,27105;2012/01/18
210;http://www.journaldelenvironnement.net/article/plastiques-il-n-y-a-pas-que-le-bpa,21925;2011/04/03
211;http://www.journaldelenvironnement.net/article/les-pecheurs-europeens-partent-a-la-peche-aux-plastiques,23023;2011/05/05
212;http://www.journaldelenvironnement.net/article/du-plastique-dans-9-des-poissons-du-pacifique,23961;2011/04/07
213;http://www.journaldelenvironnement.net/article/publication-de-directives-techniques-afin-de-faciliter-les-controles-a-l-importation-pour-les-ustensiles-de-cuisine-en-plastique,24020;2011/06/07
214;http://www.journaldelenvironnement.net/article/declaration-de-conformite-pour-l-importation-d-ustensiles-de-cuisine-en-plastique-originaires-ou-en-provenance-de-chine,23547;2011/08/06
215;http://www.journaldelenvironnement.net/article/recyclage-chiffres-mitiges-pour-les-plastiques-et-les-textiles,20307;2010/11/29
216;http://www.journaldelenvironnement.net/article/convertir-en-diesel-des-plastiques-en-fin-de-vie,19981;2010/08/11
217;http://www.journaldelenvironnement.net/article/dechets-d-emballages-plastiques-la-concurrence-doit-jouer,19312;2010/09/29
218;http://www.journaldelenvironnement.net/article/bruxelles-consulte-sur-la-fin-de-vie-des-sacs-en-plastique,23236;2011/05/18
219;http://www.journaldelenvironnement.net/article/la-mediterranee-envahie-par-les-micro-dechets-de-plastique,20830;2011/03/01
220;http://www.journaldelenvironnement.net/article/introduction-des-restrictions-relatives-au-bpa-dans-le-nouveau-reglement-sur-les-materiaux-en-matiere-plastique-au-contact-des-denrees-alimentaires,22618;2011/04/13
221;http://www.journaldelenvironnement.net/article/our-ocean-l-ue-renforce-ses-engagements-en-faveur-des-oceans,86758;2017/05/10
222;http://www.journaldelenvironnement.net/article/utilisation-des-sacs-en-plastique-ouverture-d-une-consultation-publique,23270;2011/05/20
223;http://www.journaldelenvironnement.net/article/dechets-marins-les-menaces-ecologiques-se-precisent,44773;2014/03/04
